Created on 10-22-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-04-23,XRPUSD,0.8639,0.885,0.85,0.8734,5816413.05,5055896.8
2018-04-22,XRPUSD,0.87,0.919,0.84,0.8639,10123234.08,8972748.62
2018-04-21,XRPUSD,0.9268,0.9274,0.81,0.87,13643935.26,11846507.95
2018-04-20,XRPUSD,0.782,0.9405,0.782,0.9268,25618461.05,22134911.56
2018-04-19,XRPUSD,0.7122,0.7871,0.7041,0.782,12526393.87,9251823.31
2018-04-18,XRPUSD,0.6534,0.73,0.6516,0.7122,10238943.79,7098224.8
2018-04-17,XRPUSD,0.6622,0.682,0.6468,0.6534,5222555.28,3478785.98
2018-04-16,XRPUSD,0.6961,0.6974,0.6364,0.6622,6478541.3,4285226.7
2018-04-15,XRPUSD,0.6395,0.6984,0.6395,0.6961,7395114.35,4985001.33
2018-04-14,XRPUSD,0.6416,0.674,0.6225,0.6395,9710554.89,6282966.71
2018-04-13,XRPUSD,0.6433,0.7081,0.613,0.6416,25241937.71,16585436.32
2018-04-12,XRPUSD,0.5412,0.6657,0.5021,0.6433,25698922.02,14683193.96
2018-04-11,XRPUSD,0.4908,0.555,0.486,0.5412,8079793.27,4158254.99
2018-04-10,XRPUSD,0.4873,0.4934,0.4777,0.4908,3315245.95,1610977.41
2018-04-09,XRPUSD,0.4969,0.5113,0.4743,0.4873,6480182.17,3173706.09
2018-04-08,XRPUSD,0.4851,0.5006,0.4837,0.4969,3230939.95,1597629.57
2018-04-07,XRPUSD,0.4739,0.496,0.47,0.4851,4959521.4,2417929.69
2018-04-06,XRPUSD,0.4875,0.4953,0.4587,0.4739,7309516.17,3447304.73
2018-04-05,XRPUSD,0.4896,0.497,0.4747,0.4875,6505555.33,3155530.24
2018-04-04,XRPUSD,0.5491,0.5536,0.485,0.4896,9659120.66,4924701.29
2018-04-03,XRPUSD,0.493,0.5525,0.492,0.5491,13042738.64,6852999.63
2018-04-02,XRPUSD,0.4788,0.5041,0.4715,0.493,8503564.36,4136093.4
2018-04-01,XRPUSD,0.4984,0.5056,0.45,0.4788,10548911.19,5074114.85
2018-03-31,XRPUSD,0.4984,0.521,0.492,0.4984,6326972.02,3203231.26
2018-03-30,XRPUSD,0.5016,0.5234,0.4703,0.4984,17698321.52,8699355.19
2018-03-29,XRPUSD,0.5724,0.574,0.4976,0.5016,16473231.9,8716604.88
2018-03-28,XRPUSD,0.57,0.5879,0.5635,0.5724,4102113.08,2352143.73
2018-03-27,XRPUSD,0.5873,0.602,0.557,0.57,8800351.79,5097709.83
2018-03-26,XRPUSD,0.6355,0.6421,0.575,0.5873,10234758.31,6125397.59
2018-03-25,XRPUSD,0.6282,0.654,0.621,0.6355,4076988.37,2585067.86
2018-03-24,XRPUSD,0.64,0.6784,0.628,0.6282,6158772.44,4004677.44
2018-03-23,XRPUSD,0.6544,0.6544,0.612,0.64,6826941.83,4289770.92
2018-03-22,XRPUSD,0.6787,0.6909,0.61,0.6544,9409299.62,6149028.8
2018-03-21,XRPUSD,0.7005,0.7098,0.66,0.6787,9980780.94,6875553.65
2018-03-20,XRPUSD,0.7197,0.72,0.657,0.7005,14073719.43,9772278.7
2018-03-19,XRPUSD,0.6484,0.7238,0.6261,0.7197,14833948.73,9962168.29
2018-03-18,XRPUSD,0.6288,0.6747,0.5335,0.6484,22378475.42,13199981.92
